Num_Frame,Respond_Time,Eyes detected
0,0.5439956188,0
1,0.3320858479,0
2,0.2884883881,0
3,0.3200850487,0
4,0.3494513035,0
5,0.3597407341,0
6,0.3181328773,0
7,0.3501219749,1
8,0.3509044647,1
9,0.3641300201,1
10,0.3288435936,1
11,0.3676345348,1
12,0.3372430801,0
13,0.3812973499,1
14,0.3568007946,1
15,0.3390889168,1
16,0.3736903667,1
17,0.3711469173,1
18,0.3661417961,1
19,0.3293104172,1
20,0.3546674252,1
21,0.1511943340,0
22,0.2865657806,0
23,0.2939743996,0
24,0.3083863258,0
25,0.2965140343,0
26,0.2996528149,0
27,0.2974421978,0
28,0.3165135384,0
29,0.3178911209,0
Num_Frame,Respond_Time,Eyes detected
0,0.4314494133,0
1,0.2834181786,0
2,0.2416868210,0
3,0.2684562206,0
4,0.2567563057,0
5,0.2499680519,0
6,0.2581598759,0
7,0.2306425571,0
8,0.2422614098,0
9,0.2256863117,0
10,0.2336759567,0
11,0.2771484852,0
12,0.2502095699,0
13,0.2810497284,0
14,0.2486059666,0
15,0.2993059158,0
16,0.2885398865,0
17,0.2924056053,0
18,0.3292427063,0
19,0.3195984364,1
20,0.2989175320,0
21,0.3243558407,1
22,0.3599865437,0
23,0.3116543293,0
24,0.3273313046,0
25,0.3323698044,0
26,0.3024632931,0
27,0.3342127800,0
28,0.3061523438,0
29,0.2763009071,0
30,0.3036994934,0
31,0.3111922741,0
32,0.3149981499,0
33,0.2953803539,0
34,0.3041315079,0
Num_Frame,Respond_Time,Eyes detected
0,0.4060144424,0
1,0.1871504784,0
2,0.2525632381,0
3,0.2223284245,0
4,0.2324855328,0
5,0.2470986843,0
6,0.3898394108,1
7,0.3524746895,1
8,0.4051196575,1
9,0.3950216770,1
10,0.3820695877,1
11,0.3680658340,1
12,0.4004495144,1
13,0.4010078907,1
14,0.3903062344,1
15,0.3697535992,1
16,0.3351027966,1
17,0.3604965210,1
18,0.3520994186,1
19,0.3148584366,0
20,0.3197488785,0
21,0.3408291340,0
22,0.3419303894,0
23,0.2516841888,0
24,0.2821240425,0
25,0.2789134979,0
26,0.2628793716,0
27,0.2536876202,0
28,0.2717907429,0
29,0.2632508278,0
30,0.2782919407,0
31,0.2961914539,0
32,0.2251327038,0
33,0.2117640972,0
34,0.2385501862,0
35,0.2771375179,0
36,0.2727859020,0
37,0.2396485806,0
38,0.2485253811,0
39,0.2454354763,0
40,0.2642698288,0
41,0.2454032898,0
42,0.2568373680,0
43,0.2555711269,0
44,0.2554218769,0
45,0.2547900677,0
46,0.2460165024,0
47,0.2518277168,0
48,0.2565870285,0
49,0.2710299492,0
50,0.2497050762,0
51,0.2876920700,0
52,0.2541306019,0
53,0.2740099430,0
54,0.2641923428,0
55,0.2767620087,0
56,0.2164804935,0
57,0.1579332352,0
58,0.2649509907,0
59,0.3041398525,1
60,0.3306853771,1
61,0.3492035866,1
62,0.3456850052,1
63,0.3233973980,0
64,0.3181099892,0
65,0.3364069462,1
66,0.2734997272,0
67,0.2951793671,1
68,0.3302078247,0
Num_Frame,Respond_Time,Eyes detected
0,0.5769104958,1
1,0.3415901661,1
2,0.2994542122,1
3,0.3192396164,1
4,0.3205547333,1
5,0.3154082298,1
6,0.3018722534,1
7,0.3077869415,1
8,0.3047649860,1
9,0.3036429882,1
10,0.3150637150,1
11,0.3028192520,1
12,0.3004913330,1
13,0.2984139919,1
14,0.3046171665,1
15,0.3126780987,1
16,0.2980442047,1
17,0.3139789104,1
18,0.2946860790,1
19,0.3007440567,1
20,0.3006360531,1
21,0.3170642853,1
22,0.3087503910,1
23,0.3051083088,1
24,0.3085923195,1
25,0.3257405758,1
26,0.3046007156,1
27,0.2919328213,1
28,0.2895226479,1
29,0.2836043835,1
30,0.2845036983,1
Num_Frame,Respond_Time,Eyes detected
0,0.5156562328,0
1,0.2702066898,0
2,0.2668998241,0
3,0.2785716057,0
4,0.3232376575,0
5,0.2847068310,0
6,0.2786223888,0
7,0.2726888657,0
8,0.2847652435,0
9,0.2799906731,0
10,0.2913968563,0
11,0.2759797573,0
12,0.2848634720,0
13,0.2931809425,0
14,0.2707812786,0
15,0.2937631607,0
16,0.2754058838,0
17,0.2922155857,0
18,0.3395445347,0
19,0.3026347160,0
20,0.2921123505,0
21,0.3531374931,0
22,0.3386020660,0
23,0.3641788960,0
24,0.3308672905,0
25,0.3489613533,0
26,0.3416574001,0
27,0.3799867630,0
28,0.3402991295,0
29,0.3576047421,0
30,0.3409245014,0
31,0.3456323147,0
32,0.3431737423,0
33,0.3481156826,0
34,0.3371689320,0
35,0.3391759396,0
36,0.3330566883,0
37,0.3296031952,0
38,0.3331980705,0
39,0.3395466805,0
40,0.3376121521,0
41,0.3421409130,0
42,0.3309979439,0
43,0.3404021263,0
44,0.3504276276,0
45,0.3445992470,0
46,0.3578135967,0
47,0.3405499458,0
48,0.3426122665,0
49,0.3428132534,0
50,0.3403465748,0
51,0.3800280094,0
52,0.3383591175,0
53,0.2901735306,0
54,0.4124126434,0
55,0.2966876030,0
56,0.2854263783,0
57,0.2720808983,0
58,0.2846002579,0
59,0.2889955044,0
60,0.3569562435,0
61,0.3640825748,1
Num_Frame,Respond_Time,Eyes detected
0,0.5238764286,0
1,0.2742509842,0
2,0.3236248493,0
3,0.3251376152,0
4,0.2729432583,0
5,0.2807569504,0
6,0.3054950237,0
7,0.3145694733,0
8,0.3114995956,0
9,0.3174884319,0
10,0.3245751858,0
11,0.3042597771,0
12,0.3168816566,0
13,0.3111178875,0
14,0.3127110004,0
15,0.3120124340,0
16,0.3140838146,0
17,0.3238530159,0
18,0.2952353954,0
19,0.3007676601,0
20,0.3071711063,0
21,0.3089613914,0
22,0.3089046478,0
23,0.3428606987,0
24,0.3242332935,0
25,0.3210253716,0
26,0.3109316826,0
27,0.3004364967,0
28,0.3007230759,0
29,0.2996115685,0
30,0.3247065544,0
31,0.2910580635,0
32,0.3352570534,0
33,0.2966914177,0
34,0.3240239620,0
35,0.3321785927,0
36,0.3457801342,0
37,0.3426494598,0
38,0.3211314678,0
39,0.3171029091,0
40,0.3416647911,0
41,0.3271994591,0
42,0.3229393959,0
43,0.3245928288,0
44,0.3472082615,0
45,0.3292603493,0
46,0.3303294182,0
47,0.3238492012,0
48,0.3283832073,0
49,0.3294389248,0
50,0.3244428635,0
51,0.3274371624,0
52,0.3189966679,0
53,0.3252968788,0
54,0.3212885857,0
55,0.3130240440,0
56,0.2595570087,0
57,0.2522158623,0
58,0.2771787643,0
59,0.2814927101,0
60,0.2647404671,0
61,0.3963658810,1
62,0.4058647156,1
Num_Frame,Respond_Time,Eyes detected
0,0.5170435905,0
1,0.3334977627,1
2,0.2735230923,0
3,0.3069121838,0
4,0.2782721519,0
5,0.2776820660,0
6,0.2867021561,0
7,0.2472052574,0
8,0.2988855839,1
9,0.2726211548,0
10,0.2867066860,0
11,0.2786014080,0
12,0.2658970356,0
13,0.2316434383,0
14,0.2742714882,0
15,0.2837710381,0
16,0.2869586945,0
17,0.2823817730,0
18,0.2868344784,0
19,0.3012170792,0
20,0.3031749725,0
21,0.3036854267,0
22,0.3019535542,0
23,0.2851927280,0
24,0.2882533073,0
25,0.2843146324,0
26,0.2905311584,0
27,0.2902185917,0
28,0.2810940742,0
29,0.2793693542,0
30,0.3058214188,0
31,0.2861478329,0
32,0.2794690132,0
33,0.3061130047,0
34,0.2858240604,0
35,0.2886202335,0
36,0.2863976955,0
37,0.2942273617,1
38,0.2881309986,1
39,0.3144655228,1
40,0.2910070419,0
41,0.2926239967,1
42,0.2865734100,1
43,0.2878859043,1
44,0.2971847057,1
45,0.3003211021,1
46,0.3029839993,1
47,0.3196094036,1
48,0.3255398273,1
49,0.3253488541,1
50,0.3231940269,1
51,0.3165259361,1
52,0.3424489498,1
53,0.3134844303,1
54,0.3320519924,1
55,0.3143255711,1
56,0.2937643528,0
57,0.3086044788,0
58,0.3232903481,0
59,0.3235194683,0
60,0.3041095734,1
61,0.2976987362,1
62,0.3128399849,1
63,0.3042228222,1
64,0.3001370430,0
65,0.3044638634,0
66,0.2829244137,0
Num_Frame,Respond_Time,Eyes detected
0,0.4647405148,0
1,0.2866938114,0
2,0.2609112263,0
3,0.2260799408,0
4,0.2052834034,0
5,0.2304363251,0
6,0.1378993988,0
7,0.3227510452,0
8,0.3266563416,0
9,0.3305740356,1
10,0.2553856373,0
11,0.2573766708,0
12,0.2571094036,0
13,0.3166766167,0
14,0.3255026340,1
15,0.3515663147,1
16,0.3589043617,1
17,0.3812615871,1
18,0.3587086201,1
19,0.3888506889,1
20,0.3736574650,1
21,0.3635346889,1
22,0.3629095554,1
23,0.2800300121,0
24,0.3650522232,1
25,0.3090336323,1
26,0.3258683681,1
27,0.2431385517,0
28,0.1998655796,0
29,0.2129673958,0
30,0.2300503254,0
31,0.2404336929,0
32,0.2543222904,0
33,0.2430629730,0
34,0.2537839413,0
35,0.2597429752,0
36,0.2590222359,0
37,0.2793390751,0
38,0.2548720837,0
39,0.2648589611,1
40,0.2598087788,1
41,0.2649009228,0
42,0.2557268143,0
43,0.2678868771,0
44,0.2682147026,1
45,0.2699115276,0
46,0.2730116844,0
47,0.2621798515,0
48,0.2699887753,0
49,0.2668590546,0
50,0.2671926022,0
51,0.2706654072,0
52,0.2688453197,0
53,0.2702629566,1
54,0.2841417789,0
55,0.2764940262,0
56,0.2784557343,1
57,0.2808072567,0
58,0.2833724022,0
59,0.2707989216,0
60,0.2854409218,0
61,0.2806215286,0
62,0.2881958485,0
63,0.2813532352,1
64,0.2802777290,0
65,0.2981758118,0
66,0.2895052433,0
67,0.3049895763,0
68,0.2949290276,0
69,0.2987241745,0
70,0.3004374504,0
Num_Frame,Respond_Time,Eyes detected
0,0.3947949409,0
1,0.2235300541,0
2,0.1423494816,0
3,0.2081589699,0
4,0.2218170166,0
5,0.2292134762,0
6,0.2589571476,0
7,0.2631788254,0
8,0.3122379780,1
9,0.3239128590,0
10,0.3020362854,0
11,0.3500590324,0
12,0.1669149399,0
13,0.1557428837,0
14,0.1893036366,0
15,0.2023360729,0
16,0.2398815155,0
17,0.1751298904,0
18,0.2415354252,0
19,0.2518262863,0
20,0.2717745304,0
21,0.2490346432,0
22,0.2477290630,0
23,0.2542877197,0
24,0.2489073277,0
25,0.2572016716,0
26,0.2610733509,0
27,0.2784121037,0
28,0.2792387009,0
29,0.3013124466,0
30,0.2753813267,0
31,0.2694852352,0
32,0.2783002853,0
33,0.2857360840,0
34,0.2842321396,0
35,0.2990257740,0
36,0.2718107700,0
37,0.2748851776,0
38,0.2880234718,0
39,0.2809071541,0
40,0.2706615925,0
41,0.2590913773,0
42,0.2477006912,0
43,0.2423453331,0
44,0.2489407063,0
45,0.2583050728,0
46,0.2635684013,1
47,0.2682182789,1
48,0.2758626938,0
49,0.2631263733,0
50,0.2706708908,0
51,0.2624990940,0
52,0.2682554722,1
53,0.2641525269,0
54,0.2543101311,0
55,0.2743530273,0
56,0.2698497772,0
57,0.2576062679,0
58,0.2619805336,0
59,0.2625026703,0
60,0.2751765251,0
61,0.2725191116,0
62,0.2777121067,0
63,0.2623007298,0
64,0.2566075325,0
65,0.2613842487,0
66,0.2702183723,0
67,0.2608597279,0
68,0.2625231743,0
69,0.2656421661,0
70,0.2712349892,0
71,0.2659535408,0
72,0.2729711533,1
73,0.2687656879,1
74,0.2671225071,1
75,0.2663805485,1
76,0.2633383274,1
Num_Frame,Respond_Time,Eyes detected
0,0.4772002697,0
1,0.2715361118,0
2,0.2377922535,0
3,0.2502346039,0
4,0.2568116188,0
5,0.2417304516,0
6,0.3098089695,0
7,0.2501959801,0
8,0.2801752090,0
9,0.2876577377,0
10,0.2943890095,0
11,0.1742963791,0
12,0.3066976070,1
13,0.3213520050,1
14,0.3225169182,1
15,0.2999742031,1
16,0.2763004303,1
17,0.2632186413,1
18,0.2765984535,1
19,0.2768211365,1
20,0.2703800201,1
21,0.2808003426,1
22,0.2880637646,0
23,0.2753164768,1
24,0.2763047218,1
25,0.3062617779,1
26,0.3010075092,1
27,0.2884933949,1
28,0.2839791775,1
29,0.2756307125,1
30,0.3006138802,1
31,0.2944536209,1
32,0.2836585045,1
33,0.2766463757,1
34,0.2895383835,0
35,0.2801876068,1
36,0.2958045006,1
37,0.2974369526,1
38,0.2850265503,0
39,0.2926087379,1
40,0.2922835350,0
41,0.2798864841,1
42,0.2792747021,0
43,0.2841396332,1
44,0.2726788521,1
45,0.2823293209,1
46,0.2856149673,1
47,0.2865707874,1
48,0.2807726860,0
49,0.2897739410,1
50,0.2765982151,1
51,0.2766969204,0
52,0.2946295738,1
53,0.2780871391,1
54,0.2764236927,1
55,0.2836811543,1
56,0.2850553989,1
57,0.2773482800,1
58,0.2811410427,1
59,0.2900838852,1
60,0.2824282646,1
61,0.3019318581,0
62,0.3040859699,1
63,0.3149867058,0
64,0.3380954266,0
65,0.3145503998,1
66,0.3116102219,0
67,0.3113653660,0
68,0.3099162579,0
69,0.3069221973,0
