Num_Frame,Respond_Time,Eyes detected
0,0.5439956188,0
1,0.3320858479,0
2,0.2884883881,0
3,0.3200850487,0
4,0.3494513035,0
5,0.3597407341,0
6,0.3181328773,0
7,0.3501219749,1
8,0.3509044647,1
9,0.3641300201,1
10,0.3288435936,1
11,0.3676345348,1
12,0.3372430801,0
13,0.3812973499,1
14,0.3568007946,1
15,0.3390889168,1
16,0.3736903667,1
17,0.3711469173,1
18,0.3661417961,1
19,0.3293104172,1
20,0.3546674252,1
21,0.1511943340,0
22,0.2865657806,0
23,0.2939743996,0
24,0.3083863258,0
25,0.2965140343,0
26,0.2996528149,0
27,0.2974421978,0
28,0.3165135384,0
29,0.3178911209,0
Num_Frame,Respond_Time,Eyes detected
0,0.4314494133,0
1,0.2834181786,0
2,0.2416868210,0
3,0.2684562206,0
4,0.2567563057,0
5,0.2499680519,0
6,0.2581598759,0
7,0.2306425571,0
8,0.2422614098,0
9,0.2256863117,0
10,0.2336759567,0
11,0.2771484852,0
12,0.2502095699,0
13,0.2810497284,0
14,0.2486059666,0
15,0.2993059158,0
16,0.2885398865,0
17,0.2924056053,0
18,0.3292427063,0
19,0.3195984364,1
20,0.2989175320,0
21,0.3243558407,1
22,0.3599865437,0
23,0.3116543293,0
24,0.3273313046,0
25,0.3323698044,0
26,0.3024632931,0
27,0.3342127800,0
28,0.3061523438,0
29,0.2763009071,0
30,0.3036994934,0
31,0.3111922741,0
32,0.3149981499,0
33,0.2953803539,0
34,0.3041315079,0
Num_Frame,Respond_Time,Eyes detected
0,0.4060144424,0
1,0.1871504784,0
2,0.2525632381,0
3,0.2223284245,0
4,0.2324855328,0
5,0.2470986843,0
6,0.3898394108,1
7,0.3524746895,1
8,0.4051196575,1
9,0.3950216770,1
10,0.3820695877,1
11,0.3680658340,1
12,0.4004495144,1
13,0.4010078907,1
14,0.3903062344,1
15,0.3697535992,1
16,0.3351027966,1
17,0.3604965210,1
18,0.3520994186,1
19,0.3148584366,0
20,0.3197488785,0
21,0.3408291340,0
22,0.3419303894,0
23,0.2516841888,0
24,0.2821240425,0
25,0.2789134979,0
26,0.2628793716,0
27,0.2536876202,0
28,0.2717907429,0
29,0.2632508278,0
30,0.2782919407,0
31,0.2961914539,0
32,0.2251327038,0
33,0.2117640972,0
34,0.2385501862,0
35,0.2771375179,0
36,0.2727859020,0
37,0.2396485806,0
38,0.2485253811,0
39,0.2454354763,0
40,0.2642698288,0
41,0.2454032898,0
42,0.2568373680,0
43,0.2555711269,0
44,0.2554218769,0
45,0.2547900677,0
46,0.2460165024,0
47,0.2518277168,0
48,0.2565870285,0
49,0.2710299492,0
50,0.2497050762,0
51,0.2876920700,0
52,0.2541306019,0
53,0.2740099430,0
54,0.2641923428,0
55,0.2767620087,0
56,0.2164804935,0
57,0.1579332352,0
58,0.2649509907,0
59,0.3041398525,1
60,0.3306853771,1
61,0.3492035866,1
62,0.3456850052,1
63,0.3233973980,0
64,0.3181099892,0
65,0.3364069462,1
66,0.2734997272,0
67,0.2951793671,1
68,0.3302078247,0
